matchup_type,game_num,num_moves,total_time_sec
Baseline-Random,68,33,0.006057207996491343
Baseline-Random,69,19,0.0077117500040913
Baseline-Random,70,26,0.008524124998075422
Baseline-Random,71,11,0.004568040996673517
Baseline-Random,72,30,0.007729707998805679
Baseline-Random,73,21,0.005928209000558127
Baseline-Random,74,22,0.006607666997297201
Baseline-Random,75,21,0.006169749998662155
Baseline-Random,76,36,0.006456167000578716
Baseline-Random,77,37,0.008671541996591259
Baseline-Random,78,22,0.005690582998795435
Baseline-Random,79,33,0.011022750004485715
Baseline-Random,80,8,0.003963666997151449
Baseline-Random,81,9,0.0031885420030448586
Baseline-Random,82,30,0.007102666000719182
Baseline-Random,83,21,0.007288499997230247
Baseline-Random,84,12,0.003970792000473011
Baseline-Random,85,21,0.008585583003878128
Baseline-Random,86,26,0.007465125003363937
Baseline-Random,87,21,0.007797582999046426
Baseline-Random,88,30,0.007979166999575682
Baseline-Random,89,15,0.006821791997936089
Baseline-Random,90,18,0.006511125000542961
Baseline-Random,91,19,0.00820029200258432
Baseline-Random,92,20,0.007236083001771476
Baseline-Random,93,29,0.0064510830052313395
Baseline-Random,94,38,0.008701957995072007
Baseline-Random,95,19,0.008259582995378878
Baseline-Random,96,22,0.007554832998721395
Baseline-Random,97,21,0.00693479099572869
Baseline-Random,98,22,0.0067782909973175265
Baseline-Random,99,17,0.00456441700225696
Baseline-Random,100,22,0.005855333998624701
Baseline-Baseline,1,27,0.007613875000970438
Baseline-Baseline,2,33,0.011643249999906402
Baseline-Baseline,3,28,0.009308417000283953
Baseline-Baseline,4,29,0.0076869580007041804
Baseline-Baseline,5,37,0.008645166002679616
Baseline-Baseline,6,25,0.009706916003779043
Baseline-Baseline,7,25,0.006570541001565289
Baseline-Baseline,8,26,0.009894165996229276
Baseline-Baseline,9,29,0.006031790995621122
Baseline-Baseline,10,32,0.010834833003173117
Baseline-Baseline,11,33,0.007857458003854845
Baseline-Baseline,12,26,0.007542667000961956
Baseline-Baseline,13,26,0.009161542002402712
Baseline-Baseline,14,34,0.009048833002452739
Baseline-Baseline,15,21,0.00644612500036601
Baseline-Baseline,16,25,0.008737208001548424
Baseline-Baseline,17,29,0.010957957994833123
Baseline-Baseline,18,24,0.007012834001216106
Baseline-Baseline,19,25,0.0078077080033835955
Baseline-Baseline,20,37,0.009153499995591119
Baseline-Baseline,21,16,0.006996791998972185
Baseline-Baseline,22,11,0.0042145000043092296
Baseline-Baseline,23,16,0.007286000000021886
Baseline-Baseline,24,22,0.007715166997513734
Baseline-Baseline,25,21,0.007424667004670482
Baseline-Baseline,26,27,0.009620541997719556
